AI & ML Course Keywords
Keyword	Avg. monthly searches	Competition	Top of page bid (low range)	Top of page bid (high range)
ml and ai courses online	10.0	Unknown		
ai ml courses iit	10.0	High	51.58	146.73
pgdm in ai and ml	10.0	Medium		
pg in ai ml	10.0	High	112.72	205.03
ai ml degree courses	10.0	High	39.01	106.3
great learning aiml course	10.0	High		
simplilearn ai ml	10.0	Unknown		
upgrad ml and ai course fees	10.0	Unknown		
mca ai and ml	10.0	High	93.73	287.42
great learning ai ml course	10.0	High	75.93	372.68
ai ml free online courses	10.0	Unknown		
ai and ml courses near me	10.0	High	48.06	121.09
google ai and ml course	10.0	High		
ai and ml courses online free	10.0	High	11.17	43.93
ai ml courses in iit	10.0	High	66.58	210.71
aiml course fees	10.0	Medium	33.87	98.9
AI Course Keywords
learning about machine learning	5400.0	Low	22.46	95.99
machine learning machine learning	5400.0	Low	22.46	95.99
ai course	4400.0	High	34.95	102.67
advanced artificial intelligence course	4400.0	High	34.95	102.67
ai courses online	1300.0	High	40.38	134.74
ai classes	1300.0	Medium	37.31	118.29
ai intelligence course	1300.0	Medium	37.31	118.29
artificial intelligence course	1300.0	Medium	37.31	118.29
artificial intelligence online course	1300.0	High	40.38	134.74
artificial intelligence classes	1300.0	Medium	37.31	118.29
artificial intelligence programs online	1300.0	High	40.38	134.74
learn artificial intelligence online	1300.0	High	40.38	134.74
artificial intelligence classes online	1300.0	High	40.38	134.74
machine intelligence course	1300.0	Medium	37.31	118.29
generative ai course	1000.0	High	34.95	126.2
generative ai courses	1000.0	High	34.95	126.2
machine learning for beginners	1000.0	Low		
machine learning course	720.0	Medium	31.61	92.47
machine learning classes	720.0	Medium	31.61	92.47
artificial intelligence course free	720.0	Medium	8.92	42.45
learn about artificial intelligence	720.0	Medium	31.13	93.2
free courses on ai	720.0	Medium	8.92	42.45
free courses on artificial intelligence	720.0	Medium	8.92	42.45
classes for machine learning	720.0	Medium	31.61	92.47
course of machine learning	720.0	Medium	31.61	92.47
ai courses near me	590.0	High	37.57	113.05
google ai course	590.0	Medium	21.41	76.25
introduction to ai	590.0	Low	23.24	99.97
introduction to artificial intelligence	590.0	Low	23.24	99.97
google ai classes	590.0	Medium	21.41	76.25
ai courses online free	480.0	Medium	10.27	47.93
ai online courses free	480.0	Medium	10.27	47.93
best ai courses	480.0	High	41.76	134.74
best artificial intelligence course	480.0	High	41.76	134.74
best courses on ai	480.0	High	41.76	134.74
best courses on artificial intelligence	480.0	High	41.76	134.74
artificial intelligence course free online	480.0	Medium	10.27	47.93
free online courses on artificial intelligence	480.0	Medium	10.27	47.93
free online course artificial intelligence	480.0	Medium	10.27	47.93
artificial intelligence class 9th	480.0	Low	22.64	57.06
ai engineer course	390.0	Medium	32.59	101.03
b ds course	390.0	Low		
ai learning courses	320.0	High	47.37	144.86
ai certificate course	320.0	High	53.06	152.99
ai course coursera	320.0	Low	22.16	105.87
google ai course free	320.0	Medium	11.47	73.7
coursera ai courses	320.0	Low	22.16	105.87
learn ai course	320.0	High	47.37	144.86
machine learning ai	320.0	Medium	33.52	96.3
artificial intelligence course coursera	320.0	Low	22.16	105.87
machine learning for ai	320.0	Medium	33.52	96.3
class 10 artificial intelligence	320.0	Low		
ai course fees	260.0	Medium	25.52	59.09
artificial intelligence free course with certificate	260.0	Medium	9.72	53.89
online artificial intelligence	260.0	Medium	1.87	26.07
artificial intelligence for everyone	260.0	Medium	17.5	115.45
ai machine learning courses	210.0	Medium	43.23	133.21
ai related courses	210.0	High	32.4	90.84
ai mba	210.0	High	80.0	209.68
ai for everyone coursera	210.0	Low	14.9	95.87
ai courses after 12th	210.0	Medium	27.92	67.77
machine learning and ai courses	210.0	Medium	43.23	133.21
best ai courses for beginners	210.0	Medium	35.23	123.26
masters in artificial intelligence	210.0	Medium	53.31	201.24
python machine learning	210.0	Low	30.8	77.99
chatgpt course	210.0	Medium	18.81	79.33
artificial intelligence masters programs	210.0	Medium	53.31	201.24
artificial intelligence and machine learning course	210.0	Medium	43.23	133.21
mba in artificial intelligence	210.0	High	80.0	209.68
chatgpt courses	210.0	Medium	18.81	79.33
machine learning using python	210.0	Low	30.8	77.99
learn machine learning with python	210.0	Low	30.8	77.99
btech in artificial intelligence	210.0	Low	36.42	117.09
masters programs in artificial intelligence	210.0	Medium	53.31	201.24
llm artificial intelligence	210.0	Low	13.97	88.82
learn python and machine learning	210.0	Low	30.8	77.99
learning python for machine learning	210.0	Low	30.8	77.99
python programming for machine learning	210.0	Low	30.8	77.99
artificial intelligence masters program	210.0	Medium	53.31	201.24
engineering machine learning	210.0	Low	23.82	76.2
learning python machine learning	210.0	Low	30.8	77.99
ai training	170.0	Medium	45.16	134.27
ai courses for beginners	170.0	High	37.9	118.82
ai programming with python	170.0	Low	30.29	98.9
ai beginner course	170.0	High	37.9	118.82
ai and python	170.0	Low	30.29	98.9
masters in ai	170.0	High	65.59	207.36
artificial intelligence training	170.0	Medium	45.16	134.27
cognitive class ai	170.0	Low	21.62	80.84
coursera machine learning andrew ng	170.0	Medium	19.1	120.3
nvidia courses	170.0	Low	10.5	59.71
elementsofai	170.0	Low	13.04	75.08
artificial intelligence course for beginners	170.0	High	37.9	118.82
certification for artificial intelligence	170.0	High	51.82	153.8
llm in artificial intelligence	170.0	Low	4.51	107.46
microsoft artificial intelligence course	170.0	High	17.13	84.73
python programming for ai	170.0	Low	30.29	98.9
al and machine learning courses	170.0	Medium	37.79	117.53
andrewng machine learning	170.0	Medium	11.21	69.83
ai certification	140.0	High	47.64	134.92
ai prompt engineering course	140.0	High	31.38	109.45
ai 900 certification	140.0	Low	14.94	72.5
ai automation course	140.0	High	33.4	83.64
ai course udemy	140.0	Medium	7.33	63.99
artificial intelligence certification	140.0	High	47.64	134.92
google artificial intelligence course online free with certificate	140.0	Medium	10.24	41.44
free artificial intelligence course with certificate	140.0	Medium	10.51	62.43
google machine learning crash course	140.0	Low	29.87	98.11
bsc artificial intelligence	140.0	Medium	30.24	107.89
machine learning crash course google	140.0	Low	29.87	98.11
bsc in artificial intelligence	140.0	Medium	30.24	107.89
artificial intelligence course udemy	140.0	Medium	7.33	63.99
class 9th artificial intelligence	140.0	Low		
ai product manager course	110.0	High	48.37	158.45
nvidia ai course	110.0	Medium	15.83	79.14
google ai certification	110.0	Medium	22.68	81.03
diploma in artificial intelligence	110.0	Medium	45.78	159.47
google ai certificate	110.0	Medium	22.68	81.03
diploma in ai	110.0	Medium	45.78	159.47
learn ai free	110.0	Medium	13.03	49.34
artificial intelligence classes near me	110.0	High	31.02	89.7
learn ai for free	110.0	Medium	13.03	49.34
basic of artificial intelligence	110.0	Medium	12.57	69.83
artificial intelligence class 11	110.0	Low		
cognitiveclass ai	110.0	Medium	27.0	133.13
ai and data science course	90.0	Medium	38.51	120.12
ai 102 certification	90.0	Low	15.33	70.16
azure machine learning	90.0	Low	25.96	147.1
msc artificial intelligence	90.0	Medium	60.66	168.06
free machine learning course	90.0	Medium	5.63	38.53
azure ai certification	90.0	Medium	22.19	62.7
msc ai	90.0	Medium	60.66	168.06
google ai free course	90.0	Low	9.47	67.62
b tech artificial intelligence	90.0	Medium	36.1	124.63
azure for machine learning	90.0	Low	25.96	147.1
b tech in ai and ml	90.0	Medium	42.56	106.16
learnbay delhi	90.0	Medium	47.99	100.69
learn azure machine learning	90.0	Low	25.96	147.1
artificial intelligence masterclass	90.0	Medium	43.16	120.25
azure and machine learning	90.0	Low	25.96	147.1
topics in artificial intelligence	90.0	Low	23.28	44.11
free machine learning classes	90.0	Medium	5.63	38.53
windows azure machine learning	90.0	Low	25.96	147.1
ai training courses	70.0	High	41.79	131.43
ai marketing course	70.0	High	55.68	163.8
ai developer course	70.0	High	38.19	107.15
ai product management course	70.0	Medium	73.87	244.47
ai fundamentals	70.0	Medium	26.47	74.25
ai in finance courses	70.0	High	40.32	140.67
ai computer courses	70.0	Medium	27.85	70.95
best ai courses online	70.0	Medium	52.56	167.98
ibm ai course	70.0	Medium	25.23	86.49
coursera machine learning	70.0	Medium	20.46	95.61
aws machine learning certification	70.0	Low	10.24	53.53
best machine learning course	70.0	Medium	37.55	115.12
coursera ai	70.0	Medium	20.48	90.57
introduction to machine learning	70.0	Low	37.96	73.28
coursera artificial intelligence	70.0	Medium	20.48	90.57
artificial intelligence course fees	70.0	Medium	34.97	78.0
azure ai fundamentals	70.0	Low	15.39	48.72
microsoft ai certification	70.0	Medium	20.48	77.76
ibm ai engineering professional certificate	70.0	Medium	32.73	143.72
coursera ai for everyone	70.0	Low	9.54	92.7
aws ai certification	70.0	Medium	15.0	55.94
mtech in ai and ml	70.0	High	55.24	143.06
mtech in artificial intelligence	70.0	High	53.4	146.89
google ai certification course	70.0	Medium	22.7	74.7
machine learning course coursera	70.0	Low	19.58	78.62
fundamentals of artificial intelligence	70.0	Medium	26.47	74.25
best online course for artificial intelligence	70.0	Medium	52.56	167.98
machine learning basic	70.0	Low	11.88	69.83
advanced artificial intelligence	70.0	Medium	30.72	112.51
best course to learn machine learning	70.0	Medium	37.55	115.12
artificial intelligence llm	70.0	Low	13.42	92.84
good machine learning courses	70.0	Medium	37.55	115.12
best course in machine learning	70.0	Medium	37.55	115.12
bca in artificial intelligence	70.0	Low	39.7	111.98
coursera courses machine learning	70.0	Low	19.58	78.62
best machine learning classes	70.0	Medium	37.55	115.12
machine learning coursera course	70.0	Low	19.58	78.62
ai degrees	50.0	Medium	40.63	133.73
ai diploma course	50.0	Medium	34.88	138.54
ai course by google	50.0	Medium	24.59	69.83
ai python course	50.0	High	38.67	121.91
ai basic course	50.0	High	29.21	90.69
ai certification course free	50.0	Medium	12.87	53.06
ai for everyone by andrew ng	50.0	Medium	22.87	99.68
python ai course	50.0	High	38.67	121.91
upgrad ai course	50.0	High	24.43	94.16
basic ai course	50.0	High	29.21	90.69
python with ai course	50.0	High	36.74	125.18
masters in artificial intelligence and machine learning	50.0	High	83.74	318.41
artificial intelligence degrees	50.0	Medium	40.63	133.73
free ai certification courses	50.0	High	15.83	59.2
diploma in ai and machine learning	50.0	High	37.43	136.86
cs50 ai	50.0	Low	45.93	171.23
python artificial intelligence course	50.0	High	38.67	121.91
basic artificial intelligence course	50.0	High	29.21	90.69
bba in artificial intelligence	50.0	Medium	46.9	112.83
artificial intelligence class 12	50.0	Low		
class 11 artificial intelligence	50.0	Low		
deep learning artificial intelligence machine learning	50.0	Low	26.94	111.72
krish naik course	50.0	Medium	18.75	80.58
ai in marketing course	40.0	High	56.28	230.22
ai data science course	40.0	High	39.37	99.33
ai full course	40.0	High	33.15	93.34
ai robotics course	40.0	Medium	36.59	86.37
ai learning course free	40.0	High	9.61	41.23
ai for everyone course	40.0	Low	27.32	99.26
best ai courses online free	40.0	High	13.45	62.74
machine learning online course	40.0	Low	39.91	103.89
google machine learning	40.0	Low	30.69	135.0
azure machine learning studio	40.0	Low		
machine learning in finance	40.0	Low	8.12	31.73
google machine learning course	40.0	Low	26.07	86.17
mit artificial intelligence online course	40.0	High	81.53	638.61
microsoft azure ai fundamentals	40.0	Medium	18.12	91.46
azure ai 900	40.0	Low	21.72	111.55
deep learning andrew ng	40.0	Low	10.68	63.56
machine learning course by google	40.0	Low	26.07	86.17
artificial intelligence course near me	40.0	High	49.44	98.4
machine learning classes online	40.0	Low	39.91	103.89
robotics and artificial intelligence courses	40.0	Medium	36.59	86.37
courses related to artificial intelligence	40.0	High	28.12	91.45
azure ai 102	40.0	Low		
google courses machine learning	40.0	Low	26.07	86.17
bca artificial intelligence	40.0	Low	35.27	98.69
mit artificial intelligence class	40.0	High	81.53	638.61
machine learning with google	40.0	Low	30.69	135.0
google learning machine learning	40.0	Low	30.69	135.0
artificial intelligence robotics course	40.0	Medium	36.59	86.37
ai programming course	30.0	High	41.91	102.68
ai development course	30.0	High	44.71	104.0
ai coding course	30.0	High	27.32	104.01
ai for all certificate	30.0	Medium	43.41	139.6
ai course google	30.0	Medium	19.3	89.62
ai data analytics course	30.0	High	47.55	130.31
ai course with placement	30.0	High	33.76	120.1
ai & machine learning courses	30.0	Low	46.08	123.31
ai free course by google	30.0	Medium	7.94	24.31
ai courses in iit	30.0	High	47.43	230.07
ai for everyone andrew ng	30.0	Medium	24.74	114.72
ai free certificate course	30.0	Medium	12.12	67.53
ai course iit	30.0	High	49.52	256.74
deeplearning ai coursera	30.0	High	19.13	107.07
top ai courses	30.0	High	38.76	116.67
openai courses	30.0	Medium	23.12	102.85
applied ai course	30.0	Low	25.59	67.49
open ai course	30.0	Medium	26.83	77.97
deep learning ai courses	30.0	High	46.97	176.7
nptel ai course	30.0	Medium	21.08	59.6
bca ai course	30.0	Medium	30.51	77.41
b tech ai course	30.0	Medium	29.06	67.88
ai for business course	20.0	High	66.44	171.34
ai crash course	20.0	High	35.31	99.91
ai technology courses	20.0	High	34.11	107.52
ai management courses	20.0	High	55.43	185.94
ai and machine learning course fees	20.0	High	33.11	101.18
ai google course	20.0	Medium	12.47	43.67
ai design course	20.0	Medium	30.84	109.53
ai for finance course	20.0	High	42.02	148.11
ai and data analytics courses	20.0	High	47.09	135.18
ai based courses	20.0	High	41.93	106.63
ai introduction course	20.0	Low	23.02	145.89
ai architecture courses	20.0	High	36.15	128.63
ai specialist course	20.0	Medium	52.14	107.69
ai master class	20.0	High	45.16	122.08
ai master course	20.0	High	48.96	168.79
ai courses for free	20.0	Medium	8.38	43.13
ai and machine learning courses free	20.0	Medium	11.33	37.86
ai courses after 10th	20.0	Medium	25.96	61.42
ai courses after 12th commerce	20.0	Medium	30.81	71.09
ai certificate programs	10.0	High	58.25	226.46
ai certification programs	10.0	High	58.25	226.46
ai certification online	10.0	Medium	82.3	212.41
ai machine learning certification	10.0	High	45.57	139.65
ai masters programs	10.0	Low		
ai profits course	10.0	Unknown		
ai course generator	10.0	High		
ai engineer certification	10.0	Medium	44.69	98.88
ai certification google	10.0	Medium	35.46	96.95
ai graduate programs	10.0	Unknown		
ai degrees online	10.0	Medium	32.22	69.83
ai product manager certification	10.0	High	49.75	193.14
ai professional certificate	10.0	Medium	38.59	204.48
ai graduate certificate	10.0	High	81.36	258.79
ai in medicine course	10.0	High	50.22	175.5
ai and machine learning degree	10.0	Medium	52.95	69.07
ai short courses	10.0	High	28.86	120.95
ai healthcare course	10.0	High	32.82	82.75
ai for marketing course	10.0	Medium	98.11	223.75
ai for beginners course	10.0	Medium	31.83	119.43
ai leadership course	10.0	High	127.3	483.63
ai artificial intelligence course	10.0	High	50.47	128.1
ai strategy course	10.0	Medium	124.75	308.9
ai coding classes	10.0	High	29.7	56.01
ai certificate online	10.0	Medium	82.3	212.41
ai certification microsoft	10.0	Medium	41.04	117.53
ai mba programs	10.0	High		
ai project management certification	10.0	High	54.34	155.89
ai for business leaders course	10.0	Medium	82.52	408.71
ai for business certification	10.0	High		
ai and machine learning courses for working professionals	10.0	High		
ai google certification	10.0	High	36.9	87.07
ai university courses	10.0	Medium	45.73	80.27
ai for healthcare course	10.0	High	53.32	162.78
ai for leaders course	10.0	Medium		
ai study course	10.0	High	27.98	81.38
ai project management courses	10.0	High	55.0	168.43
ai engineer training	10.0	Low		
ai for managers course	10.0	High	60.37	137.93
ai training online	10.0	Low	40.39	309.46
ai course certification	10.0	High	63.52	149.17
ai and machine learning online courses	10.0	High		
ai and machine learning certification course	10.0	High	38.73	220.21
ai business course	10.0	High	32.48	76.8
ai courses for non technical	10.0	High	95.15	242.88
ai short course	10.0	High	28.86	120.95
ai and robotics courses	10.0	Medium	35.07	69.54
ai in cyber security courses	10.0	High	37.2	182.9
ai fundamentals course	10.0	Medium	53.07	112.73
ai postgraduate course	10.0	High	70.62	316.79
deep learning ai coursera	10.0	High		
best machine learning and ai courses	10.0	High		
python for ai course	10.0	Medium	25.94	93.94
python and ai course	10.0	High	34.15	94.96
best ai courses for managers	10.0	High	133.84	285.76
				
Data Science & AI Course Keywords
Keyword	Avg. monthly searches	Competition	Top of page bid (low range)	Top of page bid (high range)
data science and ai course	140.0	High	45.84	163.98
data science training in delhi	70.0	Medium	39.04	94.24
data science training in delhi ncr	70.0	Medium	39.04	94.24
python for data science training	50.0	Low	29.79	107.61
b tech in ai and data science	40.0	Medium	45.98	112.05
data science training	30.0	Low	79.17	166.66
data science ai course	30.0	High	47.27	141.89
krish naik data science course	30.0	Medium	18.95	70.51
b tech ai and data science	30.0	Medium	46.33	165.53
btech in data science and ai	30.0	Medium	56.62	154.71
data science course details	20.0	Medium	29.67	81.86
bsc ai and data science	20.0	Medium	31.88	97.9
data science & ai course	10.0	Low	54.88	113.52
data science training program	10.0	Medium	102.15	320.44
data science training and placement	10.0	Unknown		
advanced certification in data science and ai	10.0	Low	45.36	128.47
data science and ai certification	10.0	High	51.52	157.89
data science online training	10.0	Low		
data trained data science course	10.0	Unknown		
mtech in ai and data science	10.0	High	102.31	238.34
data science and ai certification course	10.0	High		
best data science training	10.0	Low		
msc ai and data science	10.0	High		
data science and ai masters	10.0	Unknown		
data science training near me	10.0	High		
best data science and ai course	10.0	High	59.34	205.17
masters in ai and data science	10.0	High	97.77	278.63
python for data science and ai	10.0	Low		
artificial intelligence and data science course details	10.0	Unknown		
certification in data science and ai	10.0	High	42.78	147.92
data science ai machine learning	10.0	Low		
msc data science course details	10.0	Unknown		
sp jain data science fees	10.0	Medium	32.05	120.29
data science training institute	10.0	Medium	48.29	153.5
https cognitiveclass ai courses python for data science	10.0	Unknown		
data science details	10.0	Low		
ibm python for data science and ai	10.0	Unknown		
padhai data science	10.0	Medium		
mtech ai and data science	10.0	High		
m tech ai and data science	10.0	High		
data science training institute in delhi	10.0	Medium	71.26	204.62
msc in ai and data science	10.0	High	67.61	240.58
data science training course	10.0	Medium		
data science ai machine learning course	10.0	Unknown		
data science ai and machine learning	10.0	Medium		
ms in ai and data science	10.0	High	150.02	279.92
b tech artificial intelligence and data science course details	10.0	Unknown		
data science and ai course details	10.0	Low		
applied ai data science course	10.0	High	50.59	212.0
masai data science course	10.0	High	27.17	101.38
python for data science ai & development coursera	10.0	Medium		
pg diploma in data science and ai	10.0	High	123.44	271.55
data science and artificial intelligence online courses	140.0	High	45.84	163.98
msc in data science and artificial intelligence	30.0	High	75.59	192.38
m tech in data science and artificial intelligence	20.0	Medium	35.39	127.23
artificial intelligence and data science course	10.0	Medium	35.43	101.83
Data Analytics Course Keywords
Keyword	Avg. monthly searches	Competition	Top of page bid (low range)	Top of page bid (high range)
data analytics courses delhi	2900.0	Medium	45.74	135.92
data analytics training in delhi	2900.0	Medium	45.74	135.92
google data analytics professional certificate	1600.0	Low	20.3	94.01
data analytics courses near me	1300.0	High	51.9	131.48
data analytics classes near me	1300.0	High	51.9	131.48
data analytics course fees	1300.0	High	28.91	82.26
data analytic course	880.0	Medium	45.98	117.9
data analytics online training	480.0	Medium	46.08	152.22
best data analytics courses	320.0	High	54.38	156.96
coding ninjas data analytics course	320.0	High	27.64	86.38
best courses on data analytics	320.0	High	54.38	156.96
best courses data analytics	320.0	High	54.38	156.96
google data analytics certification	260.0	Low	20.06	95.71
data analytics master's programs	260.0	High	66.62	186.15
ma in data analytics	260.0	High	66.62	186.15
google data analytics course	210.0	Medium	19.78	87.08
google data analytic course	210.0	Medium	19.78	87.08
data analytics certification	170.0	Medium	42.05	126.71
microsoft data analytics course	140.0	High	26.0	85.31
data analytics certification courses	110.0	Medium	49.7	148.53
python for data analytics	110.0	Low	25.49	73.93
google data analytics professional certificate coursera	110.0	Low	27.16	110.79
python and data analytics	110.0	Low	25.49	73.93
python with data analytics	110.0	Low	25.49	73.93
python programming for data analytics	110.0	Low	25.49	73.93
data analytics institute near me	90.0	Medium	48.99	141.33
best data analytics institute in delhi	90.0	Medium	48.06	142.52
best data analytics courses in delhi	90.0	Medium	51.09	151.06
coursera google data analytics	70.0	Medium	19.94	73.97
simplilearn data analytics	70.0	Medium	35.46	106.91
udemy data analytics	70.0	Medium	8.28	71.91
msc data analytics	70.0	Medium	61.6	166.21
data analytics course with placement	70.0	High	55.77	171.16
coursera data analytics course	70.0	Low	22.22	90.19
iit delhi data analytics course	70.0	High	39.16	174.48
data analytics courses iim	70.0	High	42.53	134.18
learn data analytics	50.0	High	48.41	123.14
upgrad data analytics course	50.0	Medium	126.19	499.18
data analytics courses for beginners	50.0	Medium	36.36	108.42
iit data analytics course	50.0	High	35.44	110.72
beginner data analytics courses	50.0	Medium	36.36	108.42
data analytics beginners course	50.0	Medium	36.36	108.42
data analytics institute	50.0	High	60.79	171.37
data analytics with python nptel	50.0	Low	25.43	54.87
google data analytics certification coursera	40.0	Low	21.27	90.4
data analytics using python	40.0	Medium	25.14	93.12
data analytics course duration	40.0	Medium	22.31	51.36
best data analytics certification	30.0	High	40.14	99.16
aws data analytics certification	30.0	Medium	20.48	76.95
big data analytics courses	30.0	Medium	41.4	119.71
best data analytics courses online	30.0	High	52.22	179.16
ibm data analytics course	30.0	High	23.34	97.36
data analytics degrees	30.0	Low	53.85	117.34
bachelors data analytics	30.0	Medium	42.6	104.53
microsoft data analytics certification	30.0	Medium	27.11	71.11
python data analytics course	30.0	Medium	25.14	169.48
data analytics course by google	30.0	High	16.76	95.56
ba in data analytics	30.0	Medium	42.6	104.53
almabetter data analytics	30.0	Medium	17.5	74.84
data analytics python course	30.0	Medium	25.14	169.48
data analytics certification microsoft	30.0	Medium	27.11	71.11
big data analytics training	30.0	Medium	41.4	119.71
data analytics best certification	30.0	High	40.14	99.16
data analytics course fees in delhi	30.0	High	28.09	107.51
online data analytics certificate	20.0	Low	49.94	99.18
data analytics certificate programs	20.0	Low	55.85	146.51
google data analytics professional certificate cost	20.0	Low		
data analytics professional certificate	20.0	Medium	42.39	130.33
google data analytics coursera	20.0	Medium	34.28	104.56
data analytics coursera	20.0	High	18.57	67.44
business data analytics	20.0	Medium	44.85	183.91
introduction to data analytics	20.0	Low	20.12	75.14
data analytics course google	20.0	High	27.96	89.61
data analytics google course	20.0	Medium	24.78	104.54
business data analytics course	20.0	High	57.72	154.84
great learning data analytics course	20.0	Medium	50.37	400.06
advanced data analytics course	20.0	High	50.7	122.8
pg in data analytics	20.0	Medium	62.65	164.5
pgdm in data analytics	20.0	High	64.91	205.86
business and data analytics course	20.0	High	57.72	154.84
data analytics and ai course	20.0	High	69.83	181.89
google cloud data analytics certification	20.0	Medium	10.17	59.34
best institute for data analytics	20.0	High	66.03	195.1
best institute for data analytics in delhi	20.0	Medium	66.92	143.83
data analytics offline courses	20.0	High	61.16	152.84
data analytics courses offline	20.0	High	56.15	160.21
udemy data analytics course	20.0	Medium	3.01	63.35
data analytics coaching near me	20.0	High	49.11	125.01
data analytics coaching	20.0	High	51.65	142.56
nptel data analytics with python	20.0	Low		
pg data analytics	20.0	Medium	62.65	164.5
data analytics using r programming	20.0	Medium	26.25	71.19
data analytics google certification	10.0	High	18.45	44.57
google certification data analytics	10.0	Medium	44.09	118.6
google certificate data analytics	10.0	High	21.04	75.58
best data analytics programs	10.0	Unknown		
graduate certificate in data analytics	10.0	Unknown		
data analytics certification google	10.0	Low		
data analytics program	10.0	High	75.49	175.15
best online data analytics programs	10.0	Unknown		
best online data analytics master's programs	10.0	Unknown		
google course data analytics	10.0	High	13.05	75.96
coursera data analytics certificate	10.0	Medium		
google coursera data analytics	10.0	Medium	14.66	70.93
database analyst courses	9900.0	High	43.93	112.82
data analyst classes	2400.0	High	47.2	130.15
course data analyst	2400.0	High	47.2	130.15
data and analytics courses	2400.0	High	47.2	130.15
business analytics	1300.0	Low	35.7	109.32
data analyst course near me	1300.0	High	51.9	131.48
data analysis courses near me	1300.0	High	51.9	131.48
data analysis classes near me	1300.0	High	51.9	131.48
business analytics course	480.0	Medium	49.51	155.44
data analyst course online	480.0	Medium	46.08	152.22
data analyst classes online	480.0	Medium	46.08	152.22
business analytics class	480.0	Medium	49.51	155.44
google analytics certification	390.0	Medium	14.93	75.29
ibm data analyst professional certificate	390.0	Medium	22.34	88.89
python for data analysis	390.0	Low	24.35	100.55
best data analyst course	320.0	High	54.38	156.96
best data analysis courses	320.0	High	54.38	156.96
data analyst best course	320.0	High	54.38	156.96
best institute for data analyst course in delhi	320.0	High	50.92	157.51
data analyst master program	260.0	High	66.62	186.15
data analysis master program	260.0	High	66.62	186.15
course on hr analytics	260.0	High	37.14	132.8
